Id,Prediction,Guesses
1,caesaropapism ,[e,i,n,a,t,s,m,r,l,h,p,o,c,]
2,psammite ,[e,i,n,v,r,l,a,s,t,u,h,o,p,m,]
3,_odement ,[e,s,n,i,a,t,r,u,o,v,l,m,d,c,]
4,spar_er ,[e,r,i,a,s,h,t,p,k,m,l,n,g,]
5,_u__antic ,[e,i,a,s,n,t,c,h,m,o,p,r,u,g,]
6,_lu_iolo_y ,[e,i,a,n,s,r,t,l,y,u,o,m,c,]
7,__i_er_us ,[e,i,a,n,s,u,r,t,h,p,m,l,d,]
8,pentalogy ,[e,a,i,n,s,r,y,l,h,t,p,m,o,g,]
9,annulose ,[e,i,a,u,r,n,s,o,m,t,l,]
10,moon_al_ ,[e,a,i,n,s,r,t,l,y,h,o,m,k,]
11,_a_yr__ra_y ,[e,i,a,n,s,r,t,l,y,h,m,]
12,refrangible ,[e,i,l,b,s,a,n,d,r,t,g,u,c,f,]
13,vi_erine ,[e,i,v,n,l,s,r,d,t,g,b,m,c,]
14,vestiarian ,[e,a,r,n,i,t,s,m,v,]
15,_ur_ur ,[e,a,i,s,n,r,u,t,m,l,]
16,parasynthesis ,[e,i,s,a,t,r,h,y,n,p,]
17,divellent ,[e,s,n,t,i,v,l,d,]
18,lampyridine ,[e,i,v,n,a,r,s,l,t,d,o,u,c,m,h,y,p,]
19,teleorganic ,[e,i,s,a,n,t,c,m,g,r,d,o,l,]
20,sialo_o_ue ,[e,i,a,u,o,q,s,n,r,t,l,f,m,c,d,]
21,frontogenesis ,[e,a,i,s,o,r,t,p,m,n,c,v,d,b,g,f,]
22,causimancy ,[e,i,a,n,r,s,t,v,l,y,c,z,u,m,]
23,_atolo_y ,[e,a,i,s,n,r,y,l,o,t,m,c,h,]
24,anacrisis ,[e,i,s,a,m,t,n,c,h,r,]
25,noogenesis ,[e,y,o,i,s,c,m,t,n,r,l,v,g,]
26,spumi_ ,[e,a,i,s,n,t,o,u,r,m,h,p,c,]
27,surdimutism ,[e,i,n,s,a,t,o,m,u,c,r,l,d,]
28,anteprandial ,[e,i,n,a,r,l,t,u,d,o,c,p,]
29,_eam_ulatory ,[e,i,a,n,s,r,t,y,u,c,h,p,m,l,o,f,g,]
30,metronymy ,[e,a,i,n,s,r,u,y,o,t,c,m,]
31,_i__o__o_e ,[e,i,a,u,r,n,s,o,t,m,l,]
32,_i_lio_olist ,[e,i,n,s,t,a,r,u,o,m,l,c,d,]
33,li_ne_us ,[e,a,i,s,n,u,r,t,m,l,d,c,f,h,]
34,_a_uli_er_us ,[e,i,n,a,s,t,u,r,m,l,d,c,v,b,g,]
35,spissitude ,[e,i,s,l,t,a,u,h,n,r,p,m,c,d,]
36,fremitus ,[e,a,i,n,s,u,r,t,c,f,m,]
37,catasta_tic ,[e,i,s,a,n,t,c,u,p,r,m,o,b,]
38,a_iniform ,[e,i,a,n,s,r,y,t,l,h,o,m,f,v,g,]
39,_lei_er_us ,[e,a,i,n,s,t,r,l,u,d,m,c,v,b,]
40,lipomatosis ,[e,i,s,a,r,n,t,y,o,c,m,l,h,p,]
41,quassation ,[e,i,a,n,r,s,o,t,u,q,]
42,osmi_rosis ,[e,i,s,a,o,t,m,n,c,r,g,u,p,]
43,ravanastron ,[e,i,a,n,r,t,o,s,m,v,]
44,tu_ifacient ,[e,s,i,n,t,a,r,l,h,p,m,u,d,c,f,j,]
45,_oo_ree_e ,[e,i,a,n,s,t,r,u,o,m,c,]
46,a__rom_t ,[e,a,i,n,s,r,y,o,u,c,t,m,l,]
47,herpetography ,[e,i,a,n,y,r,s,l,t,h,o,p,c,g,]
48,sarcopha_ous ,[e,i,a,n,s,u,r,o,t,m,l,c,h,p,d,f,]
49,tersive ,[e,i,n,v,r,t,s,]
50,_ylo_enous ,[e,i,a,n,s,u,o,r,t,m,l,y,c,h,p,]
51,lendrumbilate ,[e,i,n,a,t,r,v,s,l,u,d,c,m,p,b,]
52,_elolo_ue ,[e,i,a,u,o,q,s,n,r,l,t,f,]
53,carnificine ,[e,i,v,n,r,a,s,t,l,d,m,c,f,]
54,recte ,[e,s,n,r,i,a,l,t,u,o,c,]
55,impest ,[e,s,a,i,t,n,r,m,v,l,p,]
56,nomism ,[e,a,i,n,s,o,m,]
57,grillage ,[e,i,a,r,n,t,s,v,l,d,b,g,]
58,_o_ocracy ,[e,i,a,n,s,r,u,y,o,t,c,m,l,]
59,_u_erulent ,[e,s,n,i,t,a,r,u,m,l,c,d,f,h,]
60,a_u__ ,[e,a,i,s,n,r,y,o,u,t,]
61,ostraceous ,[e,a,i,n,y,s,r,u,o,t,v,l,m,c,]
62,_ara_me ,[e,i,a,n,r,s,l,t,d,b,m,u,]
63,larvi_ar_us ,[e,i,a,n,s,t,v,r,l,u,d,c,m,f,g,]
64,essorant ,[e,i,a,n,s,t,h,r,u,o,]
65,cicatrization ,[e,i,n,a,t,r,s,o,v,c,z,]
66,scutigerous ,[e,i,n,a,s,u,r,t,c,m,l,d,f,p,g,o,]
67,_actylonomy ,[e,i,a,n,s,r,t,u,y,o,c,m,l,f,p,j,]
68,nuciferous ,[e,i,n,a,s,u,r,t,m,d,c,l,f,o,]
69,crescograph ,[e,i,a,n,s,r,u,t,y,o,c,m,l,h,p,g,]
70,mamelon ,[e,a,y,i,s,n,r,t,l,w,o,m,]
71,se_osit ,[e,a,i,s,n,t,l,x,m,r,u,o,v,]
72,a__end ,[e,s,n,i,a,t,r,d,b,u,m,l,]
73,uni__onous ,[e,i,a,s,u,o,n,r,t,m,c,l,d,]
74,exsiccate ,[e,i,n,l,s,a,r,t,m,d,x,g,v,c,]
75,parata_is ,[e,i,a,s,n,t,m,c,r,h,p,g,l,d,]
76,alpenstocker ,[e,r,i,a,n,s,t,u,o,m,l,h,p,c,k,]
77,ilastical ,[e,i,n,a,t,s,l,m,c,]
78,s_optsy ,[e,a,i,s,o,h,t,n,y,p,c,r,l,]
79,scoliograptic ,[e,i,s,n,a,t,c,h,m,o,p,r,g,l,]
80,s_on_o_o_y ,[e,i,a,s,n,r,u,y,o,t,m,h,]
81,viridigenous ,[e,i,n,y,l,s,t,v,a,o,c,f,r,m,g,u,d,]
82,orchesography ,[e,i,a,n,s,r,u,y,o,c,t,l,h,b,p,g,]
83,_ar_eral ,[e,a,r,l,m,t,v,d,n,s,i,b,]
84,ass_il ,[e,a,i,s,t,r,n,h,p,m,l,w,]
85,lateritious ,[e,i,n,a,y,s,t,l,o,u,m,c,r,]
86,saliniform ,[e,i,n,a,s,t,y,r,l,o,m,v,f,]
87,trilith ,[e,a,i,n,s,t,y,h,r,m,l,]
88,_isar_ ,[e,a,i,n,s,t,r,y,k,m,l,h,]
89,plauditory ,[e,i,a,s,n,r,t,l,y,h,u,o,m,c,p,f,d,]
90,uretic ,[e,a,i,s,n,t,r,c,p,b,g,u,]
91,amphi_i_lith ,[e,i,n,t,y,s,c,h,r,a,p,m,l,g,f,]
92,nightpie_e ,[e,i,n,t,h,s,l,r,p,v,m,d,a,g,y,]
93,_laneto_en_ ,[e,s,n,i,t,a,r,h,m,l,o,v,d,f,]
94,can_nicate ,[e,i,a,n,t,v,r,s,l,d,m,c,g,u,]
95,comstoc_ery ,[e,s,i,n,a,r,u,y,o,t,c,h,p,l,m,w,]
96,tautonym ,[e,a,i,s,n,y,r,l,t,o,c,u,m,]
97,sin_ultous ,[e,i,a,n,s,u,r,o,t,m,l,d,c,f,p,]
98,_y__ra_ ,[e,a,i,n,s,r,l,u,y,h,t,]
99,o_tun_ent ,[e,s,n,i,a,t,u,o,r,c,m,l,f,]
100,_usti_ate ,[e,i,a,n,r,s,t,u,m,l,d,c,v,b,]
101,_omate ,[e,i,a,u,r,n,s,t,o,m,f,l,h,]
102,myriacanthous ,[e,i,a,n,y,s,t,u,r,c,h,m,o,]
103,o_ni_eno_s ,[e,i,n,a,y,r,s,t,v,l,o,c,f,]
104,pardie ,[e,i,a,n,s,r,t,m,l,d,f,h,p,]
105,surexcitation ,[e,i,n,a,t,s,o,r,p,m,h,c,u,l,x,]
106,stanniferous ,[e,i,n,a,s,t,u,r,m,d,c,l,f,o,]
107,spori_erous ,[e,i,n,a,s,u,r,o,t,p,m,v,l,c,h,]
108,vangee ,[e,i,a,s,n,t,v,g,]
109,ea_-_e-ni_
110,exungulation ,[e,i,n,a,o,t,s,m,r,l,c,u,x,p,d,f,g,]
111,_a_ness ,[e,s,i,u,n,a,r,t,d,w,l,b,]
112,o_turate ,[e,i,a,n,r,s,u,t,o,c,p,m,l,f,]
113,_ar_a_ ,[e,a,r,l,n,s,m,t,i,d,]
114,torose ,[e,i,a,u,r,o,n,t,v,l,d,s,]
115,__arl ,[e,a,s,i,n,r,t,h,m,l,o,]
116,remigate ,[e,i,n,s,t,l,a,v,r,d,c,m,g,]
117,disse_iment ,[e,s,n,i,t,v,l,r,d,z,m,a,b,g,c,]
118,fusillation ,[e,i,n,a,r,t,o,s,u,m,c,l,f,]
119,maulstick ,[e,i,a,n,s,t,r,m,l,o,u,y,c,k,]
120,genethlialogy ,[e,i,n,a,s,t,r,l,y,h,p,m,o,g,]
121,_anthophyll ,[e,i,a,n,s,r,y,l,o,t,h,p,m,c,g,b,]
122,plataleiform ,[e,i,a,n,s,r,t,l,y,o,m,v,f,c,p,]
123,acritochromacy ,[e,i,a,n,s,t,r,l,m,o,u,y,c,h,]
124,logarithmancy ,[e,i,a,n,s,t,r,l,y,o,h,p,m,g,c,]
125,li__late ,[e,i,a,r,n,s,t,l,m,d,o,f,p,]
126,tosticated ,[e,r,s,i,n,l,d,t,a,u,o,v,c,]
127,a_am_ere ,[e,i,a,n,r,s,t,v,l,d,m,g,]
128,pantosophy ,[e,i,a,n,s,r,y,o,l,t,m,c,h,p,]
129,emacity ,[e,i,n,s,t,y,l,a,r,m,v,d,c,]
130,_ylopolist ,[e,i,a,n,s,o,t,r,m,l,u,y,h,p,c,]
131,_al__ine ,[e,i,n,a,r,s,t,m,l,h,p,o,u,]
132,tachygraphy ,[e,i,a,n,y,r,s,l,t,h,p,c,g,]
133,ur_anolo_y ,[e,i,a,n,s,r,u,y,o,m,t,c,l,p,d,]
134,her__ri_e ,[e,i,v,n,r,a,l,s,t,h,p,m,]
135,e_texia ,[e,y,i,s,n,c,r,l,t,a,x,q,m,]
136,quotatious ,[e,i,a,n,s,u,r,t,m,c,l,d,o,q,]
137,retiform ,[e,a,i,n,s,t,y,l,o,r,m,f,]
138,s_ine ,[e,i,s,h,t,p,l,a,r,m,n,w,]
139,onomasiology ,[e,i,a,n,s,t,y,u,r,o,m,c,g,l,]
140,palaeolimnology ,[e,i,n,a,s,t,y,r,l,o,m,c,p,g,]
141,_ho__er ,[e,r,i,a,s,n,u,t,o,h,p,m,]
142,symposiarch ,[e,i,a,n,s,y,c,t,h,u,o,r,m,p,]
143,trochiline ,[e,i,v,n,r,a,s,t,u,o,l,h,p,c,]
144,steved_rage ,[e,i,a,n,r,s,t,v,l,d,c,b,g,u,p,f,]
145,_antho_erm ,[e,s,n,i,r,a,y,t,l,h,m,o,v,f,p,w,]
146,distrait ,[e,a,i,n,r,s,t,m,v,l,d,]
147,i__u_icity ,[e,i,n,y,l,s,t,a,c,r,o,u,f,]
148,lutrine ,[e,i,n,a,s,r,u,t,m,d,c,b,l,]
149,dispendi_us ,[e,i,n,s,t,l,a,h,r,p,m,u,d,c,g,]
150,inspissate ,[e,i,n,a,r,s,t,h,p,]
151,ne_ist ,[e,a,i,n,s,m,t,g,r,l,d,v,b,]
152,preallable ,[e,i,a,s,n,r,t,b,d,l,u,p,]
153,vellicative ,[e,i,v,n,r,l,s,t,a,c,]
154,situationism ,[e,i,n,s,a,t,h,m,r,l,o,p,c,u,]
155,tu_ulate ,[e,i,a,n,r,s,t,u,m,l,d,f,c,]
156,i_eblink ,[e,a,i,n,g,t,r,v,s,l,d,k,b,m,]
157,monanthous ,[e,i,a,n,s,u,o,r,t,h,m,]
158,panomphaean ,[e,s,i,n,a,r,t,m,l,h,p,u,o,]
159,_arara_a ,[e,a,n,r,t,v,l,s,i,d,]
160,_la_ellate ,[e,i,a,r,s,n,t,h,p,m,l,v,]
161,hephaestic ,[e,a,i,s,n,t,m,c,g,r,h,p,]
162,ontoso__y ,[e,i,a,s,n,u,y,o,r,t,c,l,m,]
163,mari_latry ,[e,i,a,n,y,r,s,t,c,m,l,g,d,f,p,]
164,desinent ,[e,s,r,n,i,t,v,l,d,]
165,a_ust ,[e,a,i,s,o,u,m,t,n,r,c,l,]
166,ecto_enesis ,[e,y,i,s,o,n,r,m,l,t,x,a,c,v,p,]
167,_o__oy ,[e,a,i,s,n,r,u,y,o,c,]
168,su__astation ,[e,i,n,a,r,t,o,s,u,c,m,l,p,d,f,]
169,ti_ology ,[e,a,i,s,n,r,y,l,o,t,m,g,c,f,]
170,peatary ,[e,a,r,k,s,m,t,n,h,y,p,]
171,pluriliteral ,[e,i,n,s,t,a,l,u,r,c,p,]
172,insolate ,[e,i,a,n,t,s,h,r,u,o,m,v,l,]
173,psephitic ,[e,a,i,s,n,t,c,h,p,]
174,scapple ,[e,i,a,s,r,l,n,t,h,p,c,]
175,_ro__ery ,[e,s,n,i,r,a,y,u,o,c,t,f,]
176,ischiatic ,[e,i,s,n,t,c,h,p,a,]
177,vaticinal ,[e,i,n,a,r,l,s,t,m,v,d,c,]
178,emporeutic ,[e,i,s,n,t,a,c,m,h,o,p,r,u,]
179,pneometer ,[e,r,s,n,t,i,l,a,h,m,u,o,w,p,]
180,_ru_i_er_us ,[e,i,n,a,s,u,r,t,v,c,d,l,m,]
181,_ith_utside ,[e,i,v,n,r,l,a,s,t,u,c,h,m,d,p,]
182,stasimorphy ,[e,i,a,n,s,y,r,l,t,o,h,p,m,]
183,m_rin_a ,[e,a,i,n,s,t,r,u,o,h,p,m,l,]
